GO_ID,GO_term,Category,gene_name
GO:0005515,protein binding,Function,pheS
GO:0005515,protein binding,Function,csdE
GO:0005515,protein binding,Function,lpd
GO:0005515,protein binding,Function,ygcP
GO:0005515,protein binding,Function,aroB
GO:0005515,protein binding,Function,ppiC
GO:0005515,protein binding,Function,ynbC
GO:0005515,protein binding,Function,ravA
GO:0005515,protein binding,Function,topAI
GO:0005515,protein binding,Function,rpsF
GO:0005515,protein binding,Function,yajQ
GO:0005515,protein binding,Function,tamA
GO:0005515,protein binding,Function,fdx
GO:0005515,protein binding,Function,ptsN
GO:0005515,protein binding,Function,sdhB
GO:0005515,protein binding,Function,frdB
GO:0005515,protein binding,Function,rplC
GO:0005515,protein binding,Function,dgcM
GO:0005515,protein binding,Function,degS
GO:0005515,protein binding,Function,pdeK
GO:0005515,protein binding,Function,recJ
GO:0005515,protein binding,Function,yciU
GO:0005515,protein binding,Function,arcA
GO:0005515,protein binding,Function,bepA
GO:0005515,protein binding,Function,dhaL
GO:0005515,protein binding,Function,grxD
GO:0005515,protein binding,Function,araC
GO:0005515,protein binding,Function,sufA
GO:0005515,protein binding,Function,pepN
GO:0005515,protein binding,Function,panC
GO:0005515,protein binding,Function,nusB
GO:0005515,protein binding,Function,rssB
GO:0005515,protein binding,Function,ompR
GO:0005515,protein binding,Function,nuoG
GO:0005515,protein binding,Function,lolB
GO:0005515,protein binding,Function,ycdY
GO:0005515,protein binding,Function,fadJ
GO:0005515,protein binding,Function,lpxB
GO:0005515,protein binding,Function,yoaA
GO:0005515,protein binding,Function,lptC
GO:0005515,protein binding,Function,mcrB
GO:0005515,protein binding,Function,rsuA
GO:0005515,protein binding,Function,kdpC
GO:0005515,protein binding,Function,elaB
GO:0005515,protein binding,Function,idnD
GO:0005515,protein binding,Function,hupA
GO:0005515,protein binding,Function,crr
GO:0005515,protein binding,Function,barA
GO:0005515,protein binding,Function,mngA
GO:0005515,protein binding,Function,flgK
GO:0005515,protein binding,Function,mgtS
GO:0005515,protein binding,Function,rpoD
GO:0005515,protein binding,Function,sufB
GO:0005515,protein binding,Function,accB
GO:0005515,protein binding,Function,gstB
GO:0005515,protein binding,Function,accA
GO:0005515,protein binding,Function,pepE
GO:0005515,protein binding,Function,qorA
GO:0005515,protein binding,Function,cbtA
GO:0005515,protein binding,Function,glyQ
GO:0005515,protein binding,Function,exbD
GO:0005515,protein binding,Function,acrZ
GO:0005515,protein binding,Function,dnaC
GO:0005515,protein binding,Function,xseB
GO:0005515,protein binding,Function,miaB
GO:0005515,protein binding,Function,ytfT
GO:0005515,protein binding,Function,bolA
GO:0005515,protein binding,Function,mobB
GO:0005515,protein binding,Function,hybE
GO:0005515,protein binding,Function,aceE
GO:0005515,protein binding,Function,mntH
GO:0005515,protein binding,Function,hycI
GO:0005515,protein binding,Function,rstA
GO:0005515,protein binding,Function,yaiI
GO:0005515,protein binding,Function,acrA
GO:0005515,protein binding,Function,hslV
GO:0005515,protein binding,Function,ybhF
GO:0005515,protein binding,Function,abgA
GO:0005515,protein binding,Function,fhlA
GO:0005515,protein binding,Function,iscU
GO:0005515,protein binding,Function,roxA
GO:0005515,protein binding,Function,yoeB
GO:0005515,protein binding,Function,priB
GO:0005515,protein binding,Function,ada
GO:0005515,protein binding,Function,tsr
GO:0005515,protein binding,Function,rapZ
GO:0005515,protein binding,Function,hflD
GO:0005515,protein binding,Function,ompX
GO:0005515,protein binding,Function,ubiH
GO:0005515,protein binding,Function,cadA
GO:0005515,protein binding,Function,mreB
GO:0005515,protein binding,Function,nuoC
GO:0005515,protein binding,Function,leuC
GO:0005515,protein binding,Function,rlmH
GO:0005515,protein binding,Function,sucC
GO:0005515,protein binding,Function,dcuS
GO:0005515,protein binding,Function,cdgI
GO:0005515,protein binding,Function,infC
GO:0005515,protein binding,Function,cysN
GO:0005515,protein binding,Function,ydiB
GO:0005515,protein binding,Function,pqiC
GO:0005515,protein binding,Function,htpG
GO:0005515,protein binding,Function,kdsB
GO:0005515,protein binding,Function,nadE
GO:0005515,protein binding,Function,gyrB
GO:0005515,protein binding,Function,citC
GO:0005515,protein binding,Function,rimP
GO:0005515,protein binding,Function,sufS
GO:0005515,protein binding,Function,chbB
GO:0005515,protein binding,Function,glyA
GO:0005515,protein binding,Function,cnu
GO:0005515,protein binding,Function,yeeD
GO:0005515,protein binding,Function,hemA
GO:0005515,protein binding,Function,ynfE
GO:0005515,protein binding,Function,ydfR
GO:0005515,protein binding,Function,pyrI
GO:0005515,protein binding,Function,slt
GO:0005515,protein binding,Function,allR
GO:0005515,protein binding,Function,casC
GO:0005515,protein binding,Function,paaX
GO:0005515,protein binding,Function,rpoZ
GO:0005515,protein binding,Function,dcyD
GO:0005515,protein binding,Function,moaC
GO:0005515,protein binding,Function,rnhA
GO:0005515,protein binding,Function,iclR
GO:0005515,protein binding,Function,cysK
GO:0005515,protein binding,Function,rhlB
GO:0005515,protein binding,Function,yhjB
GO:0005515,protein binding,Function,yfgM
GO:0005515,protein binding,Function,hyfG
GO:0005515,protein binding,Function,recB
GO:0005515,protein binding,Function,cadC
GO:0005515,protein binding,Function,dhaK
GO:0005515,protein binding,Function,prfA
GO:0005515,protein binding,Function,kdpE
GO:0005515,protein binding,Function,mglB
GO:0005515,protein binding,Function,purR
GO:0005515,protein binding,Function,parC
GO:0005515,protein binding,Function,pyrF
GO:0005515,protein binding,Function,prfC
GO:0005515,protein binding,Function,zapE
GO:0005515,protein binding,Function,mrcB
GO:0005515,protein binding,Function,recX
GO:0005515,protein binding,Function,ndk
GO:0005515,protein binding,Function,obgE
GO:0005515,protein binding,Function,nikA
GO:0005515,protein binding,Function,kdpB
GO:0005515,protein binding,Function,mlrA
GO:0005515,protein binding,Function,menB
GO:0005515,protein binding,Function,hypD
GO:0005515,protein binding,Function,napF
GO:0005515,protein binding,Function,rlmL
GO:0005515,protein binding,Function,hycG
GO:0005515,protein binding,Function,spy
GO:0005515,protein binding,Function,hsdM
GO:0005515,protein binding,Function,murG
GO:0005515,protein binding,Function,preT
GO:0005515,protein binding,Function,ubiC
GO:0005515,protein binding,Function,rpe
GO:0005515,protein binding,Function,ccmE
GO:0005515,protein binding,Function,rimM
GO:0005515,protein binding,Function,rpmA
GO:0005515,protein binding,Function,hemL
GO:0005515,protein binding,Function,relE
GO:0005515,protein binding,Function,ebgA
GO:0005515,protein binding,Function,prs
GO:0005515,protein binding,Function,hprS
GO:0005515,protein binding,Function,gadB
GO:0005515,protein binding,Function,ynfB
GO:0005515,protein binding,Function,mdtC
GO:0005515,protein binding,Function,crl
GO:0005515,protein binding,Function,hscC
GO:0005515,protein binding,Function,diaA
GO:0005515,protein binding,Function,gcd
GO:0005515,protein binding,Function,mocA
GO:0005515,protein binding,Function,clpB
GO:0005515,protein binding,Function,xerC
GO:0005515,protein binding,Function,pntA
GO:0005515,protein binding,Function,bfr
GO:0005515,protein binding,Function,phoR
GO:0005515,protein binding,Function,gapA
GO:0005515,protein binding,Function,csrD
GO:0005515,protein binding,Function,yjjV
GO:0005515,protein binding,Function,selB
GO:0005515,protein binding,Function,cas1
GO:0005515,protein binding,Function,rpsM
GO:0005515,protein binding,Function,ybaY
GO:0005515,protein binding,Function,lysA
GO:0005515,protein binding,Function,zapD
GO:0005515,protein binding,Function,lolE
GO:0005515,protein binding,Function,rnc
GO:0005515,protein binding,Function,mliC
GO:0005515,protein binding,Function,rfaD
GO:0005515,protein binding,Function,ycgR
GO:0005515,protein binding,Function,stpA
GO:0005515,protein binding,Function,fliT
GO:0005515,protein binding,Function,murD
GO:0005515,protein binding,Function,metI
GO:0005515,protein binding,Function,lexA
GO:0005515,protein binding,Function,ftsH
GO:0005515,protein binding,Function,manA
GO:0005515,protein binding,Function,ucpA
GO:0005515,protein binding,Function,tpiA
GO:0005515,protein binding,Function,malE
GO:0005515,protein binding,Function,thiH
GO:0005515,protein binding,Function,groL
GO:0005515,protein binding,Function,ccmF
GO:0005515,protein binding,Function,nrdF
GO:0005515,protein binding,Function,pgaC
GO:0005515,protein binding,Function,lon
GO:0005515,protein binding,Function,fbaB
GO:0005515,protein binding,Function,icd
GO:0005515,protein binding,Function,hypA
GO:0005515,protein binding,Function,napA
GO:0005515,protein binding,Function,secG
GO:0005515,protein binding,Function,cedA
GO:0005515,protein binding,Function,yqjD
GO:0005515,protein binding,Function,slmA
GO:0005515,protein binding,Function,lolA
GO:0005515,protein binding,Function,cheZ
GO:0005515,protein binding,Function,ccmA
GO:0005515,protein binding,Function,rcsB
GO:0005515,protein binding,Function,btuC
GO:0005515,protein binding,Function,cpxA
GO:0005515,protein binding,Function,cpxR
GO:0005515,protein binding,Function,ldtA
GO:0005515,protein binding,Function,acpP
GO:0005515,protein binding,Function,dnaT
GO:0005515,protein binding,Function,ybgC
GO:0005515,protein binding,Function,proX
GO:0005515,protein binding,Function,deaD
GO:0005515,protein binding,Function,fdhD
GO:0005515,protein binding,Function,glnK
GO:0005515,protein binding,Function,glnB
GO:0005515,protein binding,Function,moeB
GO:0005515,protein binding,Function,bipA
GO:0005515,protein binding,Function,yebV
GO:0005515,protein binding,Function,topA
GO:0005515,protein binding,Function,dosP
GO:0005515,protein binding,Function,rppH
GO:0005515,protein binding,Function,sspA
GO:0005515,protein binding,Function,rcsD
GO:0005515,protein binding,Function,sbcB
GO:0005515,protein binding,Function,ybgD
GO:0005515,protein binding,Function,ybbN
GO:0005515,protein binding,Function,dsbB
GO:0005515,protein binding,Function,araG
GO:0005515,protein binding,Function,rpsJ
GO:0005515,protein binding,Function,queC
GO:0005515,protein binding,Function,paaF
GO:0005515,protein binding,Function,ubiG
GO:0005515,protein binding,Function,dsbA
GO:0005515,protein binding,Function,yjgH
GO:0005515,protein binding,Function,dsbD
GO:0005515,protein binding,Function,pepB
GO:0005515,protein binding,Function,pinR
GO:0005515,protein binding,Function,rplI
GO:0005515,protein binding,Function,yedE
GO:0005515,protein binding,Function,acnB
GO:0005515,protein binding,Function,rnb
GO:0005515,protein binding,Function,def
GO:0005515,protein binding,Function,uup
GO:0005515,protein binding,Function,lipB
GO:0005515,protein binding,Function,panZ
GO:0005515,protein binding,Function,marR
GO:0005515,protein binding,Function,holC
GO:0005515,protein binding,Function,pepT
GO:0005515,protein binding,Function,hslR
GO:0005515,protein binding,Function,cbpA
GO:0005515,protein binding,Function,dinB
GO:0005515,protein binding,Function,bluR
GO:0005515,protein binding,Function,frlR
GO:0005515,protein binding,Function,fis
GO:0005515,protein binding,Function,fliA
GO:0005515,protein binding,Function,rof
GO:0005515,protein binding,Function,trg
GO:0005515,protein binding,Function,holB
GO:0005515,protein binding,Function,hscA
GO:0005515,protein binding,Function,oppD
GO:0005515,protein binding,Function,lpoB
GO:0005515,protein binding,Function,mutH
GO:0005515,protein binding,Function,nuoK
GO:0005515,protein binding,Function,csgE
GO:0005515,protein binding,Function,mlaA
GO:0005515,protein binding,Function,minC
GO:0005515,protein binding,Function,nrdA
GO:0005515,protein binding,Function,glmS
GO:0005515,protein binding,Function,narZ
GO:0005515,protein binding,Function,ispA
GO:0005515,protein binding,Function,ppa
GO:0005515,protein binding,Function,ydjF
GO:0005515,protein binding,Function,nanE
GO:0005515,protein binding,Function,crfC
GO:0005515,protein binding,Function,fhuD
GO:0005515,protein binding,Function,secD
GO:0005515,protein binding,Function,yfaX
GO:0005515,protein binding,Function,hybC
GO:0005515,protein binding,Function,hha
GO:0005515,protein binding,Function,fdnG
GO:0005515,protein binding,Function,rpoS
GO:0005515,protein binding,Function,ribF
GO:0005515,protein binding,Function,rbsA
GO:0005515,protein binding,Function,birA
GO:0005515,protein binding,Function,ptsI
GO:0005515,protein binding,Function,ybhK
GO:0005515,protein binding,Function,yeeN
GO:0005515,protein binding,Function,plsB
GO:0005515,protein binding,Function,dnaK
GO:0005515,protein binding,Function,hemG
GO:0005515,protein binding,Function,gltD
GO:0005515,protein binding,Function,sdhE
GO:0005515,protein binding,Function,ftsL
GO:0005515,protein binding,Function,usg
GO:0005515,protein binding,Function,tolQ
GO:0005515,protein binding,Function,ychN
GO:0005515,protein binding,Function,pheT
GO:0005515,protein binding,Function,tcdA
GO:0005515,protein binding,Function,ydcY
GO:0005515,protein binding,Function,secY
GO:0005515,protein binding,Function,zapC
GO:0005515,protein binding,Function,hycE
GO:0005515,protein binding,Function,cho
GO:0005515,protein binding,Function,ynbD
GO:0005515,protein binding,Function,skp
GO:0005515,protein binding,Function,rpsG
GO:0005515,protein binding,Function,paaC
GO:0005515,protein binding,Function,tsaD
GO:0005515,protein binding,Function,tamB
GO:0005515,protein binding,Function,nrdD
GO:0005515,protein binding,Function,ycfH
GO:0005515,protein binding,Function,ybjN
GO:0005515,protein binding,Function,frr
GO:0005515,protein binding,Function,ccmB
GO:0005515,protein binding,Function,raiA
GO:0005515,protein binding,Function,rplD
GO:0005515,protein binding,Function,ydaN
GO:0005515,protein binding,Function,adk
GO:0005515,protein binding,Function,ffh
GO:0005515,protein binding,Function,cyaY
GO:0005515,protein binding,Function,btuD
GO:0005515,protein binding,Function,rsgA
GO:0005515,protein binding,Function,dnaX
GO:0005515,protein binding,Function,blr
GO:0005515,protein binding,Function,recN
GO:0005515,protein binding,Function,cspD
GO:0005515,protein binding,Function,ygfF
GO:0005515,protein binding,Function,pspC
GO:0005515,protein binding,Function,lrp
GO:0005515,protein binding,Function,ppk
GO:0005515,protein binding,Function,ychF
GO:0005515,protein binding,Function,pldB
GO:0005515,protein binding,Function,uvrD
GO:0005515,protein binding,Function,asnC
GO:0005515,protein binding,Function,ybdL
GO:0005515,protein binding,Function,glnD
GO:0005515,protein binding,Function,nikR
GO:0005515,protein binding,Function,metG
GO:0005515,protein binding,Function,atpC
GO:0005515,protein binding,Function,pepP
GO:0005515,protein binding,Function,topB
GO:0005515,protein binding,Function,phnK
GO:0005515,protein binding,Function,ypdF
GO:0005515,protein binding,Function,prmA
GO:0005515,protein binding,Function,dosC
GO:0005515,protein binding,Function,malX
GO:0005515,protein binding,Function,nusG
GO:0005515,protein binding,Function,yfiF
GO:0005515,protein binding,Function,sspB
GO:0005515,protein binding,Function,flgN
GO:0005515,protein binding,Function,yfdR
GO:0005515,protein binding,Function,rbbA
GO:0005515,protein binding,Function,mcbR
GO:0005515,protein binding,Function,ispE
GO:0005515,protein binding,Function,sbcC
GO:0005515,protein binding,Function,rnr
GO:0005515,protein binding,Function,rsd
GO:0005515,protein binding,Function,rpsK
GO:0005515,protein binding,Function,envZ
GO:0005515,protein binding,Function,btuF
GO:0005515,protein binding,Function,yehY
GO:0005515,protein binding,Function,paaG
GO:0005515,protein binding,Function,nrdI
GO:0005515,protein binding,Function,ileS
GO:0005515,protein binding,Function,nudG
GO:0005515,protein binding,Function,iscX
GO:0005515,protein binding,Function,hupB
GO:0005515,protein binding,Function,glmU
GO:0005515,protein binding,Function,sdhA
GO:0005515,protein binding,Function,rplJ
GO:0005515,protein binding,Function,hyaA
GO:0005515,protein binding,Function,lolC
GO:0005515,protein binding,Function,hflK
GO:0005515,protein binding,Function,zntR
GO:0005515,protein binding,Function,damX
GO:0005515,protein binding,Function,rlmB
GO:0005515,protein binding,Function,rpoE
GO:0005515,protein binding,Function,dnaA
GO:0005515,protein binding,Function,yigZ
GO:0005515,protein binding,Function,tpx
GO:0005515,protein binding,Function,fabI
GO:0005515,protein binding,Function,relB
GO:0005515,protein binding,Function,paoD
GO:0005515,protein binding,Function,accD
GO:0005515,protein binding,Function,metN
GO:0005515,protein binding,Function,ybeD
GO:0005515,protein binding,Function,hybO
GO:0005515,protein binding,Function,yeeW
GO:0005515,protein binding,Function,glyS
GO:0005515,protein binding,Function,marA
GO:0005515,protein binding,Function,holD
GO:0005515,protein binding,Function,insO-1
GO:0005515,protein binding,Function,ydaC
GO:0005515,protein binding,Function,yciB
GO:0005515,protein binding,Function,hypF
GO:0005515,protein binding,Function,ptsG
GO:0005515,protein binding,Function,hslO
GO:0005515,protein binding,Function,mtfA
GO:0005515,protein binding,Function,cbpM
GO:0005515,protein binding,Function,galS
GO:0005515,protein binding,Function,dmsD
GO:0005515,protein binding,Function,narL
GO:0005515,protein binding,Function,dnaE
GO:0005515,protein binding,Function,zapB
GO:0005515,protein binding,Function,glnG
GO:0005515,protein binding,Function,mukF
GO:0005515,protein binding,Function,trkA
GO:0005515,protein binding,Function,narX
GO:0005515,protein binding,Function,dacB
GO:0005515,protein binding,Function,rapA
GO:0005515,protein binding,Function,ompF
GO:0005515,protein binding,Function,hscB
GO:0005515,protein binding,Function,dpiB
GO:0005515,protein binding,Function,btuB
GO:0005515,protein binding,Function,mutS
GO:0005515,protein binding,Function,mobA
GO:0005515,protein binding,Function,rng
GO:0005515,protein binding,Function,mgrB
GO:0005515,protein binding,Function,minD
GO:0005515,protein binding,Function,osmE
GO:0005515,protein binding,Function,ccmH
GO:0005515,protein binding,Function,nrdB
GO:0005515,protein binding,Function,frdA
GO:0005515,protein binding,Function,tolA
GO:0005515,protein binding,Function,kbaY
GO:0005515,protein binding,Function,rlmN
GO:0005515,protein binding,Function,ybcN
GO:0005515,protein binding,Function,ligA
GO:0005515,protein binding,Function,sucB
GO:0005515,protein binding,Function,yhfG
GO:0005515,protein binding,Function,dppD
GO:0005515,protein binding,Function,tsaE
GO:0005515,protein binding,Function,cydA
GO:0005515,protein binding,Function,yehL
GO:0005515,protein binding,Function,epmA
GO:0005515,protein binding,Function,secE
GO:0005515,protein binding,Function,mzrA
GO:0005515,protein binding,Function,hipB
GO:0005515,protein binding,Function,rpsD
GO:0005515,protein binding,Function,clpS
GO:0005515,protein binding,Function,mnmG
GO:0005515,protein binding,Function,rplV
GO:0005515,protein binding,Function,ydaY
GO:0005515,protein binding,Function,mqsA
GO:0005515,protein binding,Function,fliC
GO:0005515,protein binding,Function,ulaR
GO:0005515,protein binding,Function,rplA
GO:0005515,protein binding,Function,rbsB
GO:0005515,protein binding,Function,ybiT
GO:0005515,protein binding,Function,patZ
GO:0005515,protein binding,Function,glcC
GO:0005515,protein binding,Function,rhsC
GO:0005515,protein binding,Function,fepA
GO:0005515,protein binding,Function,galR
GO:0005515,protein binding,Function,iscS
GO:0005515,protein binding,Function,glpK
GO:0005515,protein binding,Function,hyfB
GO:0005515,protein binding,Function,dnaN
GO:0005515,protein binding,Function,recF
GO:0005515,protein binding,Function,entH
GO:0005515,protein binding,Function,proV
GO:0005515,protein binding,Function,pfkA
GO:0005515,protein binding,Function,dcm
GO:0005515,protein binding,Function,priC
GO:0005515,protein binding,Function,phoU
GO:0005515,protein binding,Function,yafQ
GO:0005515,protein binding,Function,uvrA
GO:0005515,protein binding,Function,ttdA
GO:0005515,protein binding,Function,pgm
GO:0005515,protein binding,Function,melB
GO:0005515,protein binding,Function,tolR
GO:0005515,protein binding,Function,nth
GO:0005515,protein binding,Function,ychJ
GO:0005515,protein binding,Function,ubiF
GO:0005515,protein binding,Function,mltA
GO:0005515,protein binding,Function,dfp
GO:0005515,protein binding,Function,purB
GO:0005515,protein binding,Function,intA
GO:0005515,protein binding,Function,srmB
GO:0005515,protein binding,Function,mreC
GO:0005515,protein binding,Function,nuoE
GO:0005515,protein binding,Function,loiP
GO:0005515,protein binding,Function,ydcZ
GO:0005515,protein binding,Function,rfbC
GO:0005515,protein binding,Function,leuD
GO:0005515,protein binding,Function,yjhQ
GO:0005515,protein binding,Function,ruvB
GO:0005515,protein binding,Function,mazG
GO:0005515,protein binding,Function,yejG
GO:0005515,protein binding,Function,rsfS
GO:0005515,protein binding,Function,ftsE
GO:0005515,protein binding,Function,astD
GO:0005515,protein binding,Function,yfcD
GO:0005515,protein binding,Function,dgcJ
GO:0005515,protein binding,Function,narJ
GO:0005515,protein binding,Function,amtB
GO:0005515,protein binding,Function,fliM
GO:0005515,protein binding,Function,rpmB
GO:0005515,protein binding,Function,evgA
GO:0005515,protein binding,Function,helD
GO:0005515,protein binding,Function,cyaA
GO:0005515,protein binding,Function,rpoB
GO:0005515,protein binding,Function,glpR
GO:0005515,protein binding,Function,sufD
GO:0005515,protein binding,Function,ftsY
GO:0005515,protein binding,Function,ygeA
GO:0005515,protein binding,Function,rlmJ
GO:0005515,protein binding,Function,nemR
GO:0005515,protein binding,Function,fimC
GO:0005515,protein binding,Function,hda
GO:0005515,protein binding,Function,pflB
GO:0005515,protein binding,Function,gloA
GO:0005515,protein binding,Function,era
GO:0005515,protein binding,Function,eutN
GO:0005515,protein binding,Function,rnt
GO:0005515,protein binding,Function,yrfF
GO:0005515,protein binding,Function,pstB
GO:0005515,protein binding,Function,proA
GO:0005515,protein binding,Function,ynfF
GO:0005515,protein binding,Function,iraM
GO:0005515,protein binding,Function,yajC
GO:0005515,protein binding,Function,pepQ
GO:0005515,protein binding,Function,ybeY
GO:0005515,protein binding,Function,lnt
GO:0005515,protein binding,Function,gspH
GO:0005515,protein binding,Function,fkpB
GO:0005515,protein binding,Function,yacL
GO:0005515,protein binding,Function,rnk
GO:0005515,protein binding,Function,macA
GO:0005515,protein binding,Function,bioH
GO:0005515,protein binding,Function,tufA
GO:0005515,protein binding,Function,csgG
GO:0005515,protein binding,Function,mdtO
GO:0005515,protein binding,Function,mtgA
GO:0005515,protein binding,Function,yejK
GO:0005515,protein binding,Function,mnmE
GO:0005515,protein binding,Function,lamB
GO:0005515,protein binding,Function,narW
GO:0005515,protein binding,Function,ybfE
GO:0005515,protein binding,Function,fdhF
GO:0005515,protein binding,Function,ilvN
GO:0005515,protein binding,Function,nlpI
GO:0005515,protein binding,Function,hisB
GO:0005515,protein binding,Function,ydcP
GO:0005515,protein binding,Function,hyaD
GO:0005515,protein binding,Function,fhuB
GO:0005515,protein binding,Function,rseA
GO:0005515,protein binding,Function,hyaB
GO:0005515,protein binding,Function,mltB
GO:0005515,protein binding,Function,folA
GO:0005515,protein binding,Function,yhhA
GO:0005515,protein binding,Function,rpoH
GO:0005515,protein binding,Function,can
GO:0005515,protein binding,Function,ispG
GO:0005515,protein binding,Function,cysJ
GO:0005515,protein binding,Function,entA
GO:0005515,protein binding,Function,rpiB
GO:0005515,protein binding,Function,ydaW
GO:0005515,protein binding,Function,ydhR
GO:0005515,protein binding,Function,rnlA
GO:0005515,protein binding,Function,fimG
GO:0005515,protein binding,Function,carB
GO:0005515,protein binding,Function,dgcN
GO:0005515,protein binding,Function,mntR
GO:0005515,protein binding,Function,guaC
GO:0005515,protein binding,Function,cysM
GO:0005515,protein binding,Function,fdhE
GO:0005515,protein binding,Function,accC
GO:0005515,protein binding,Function,torI
GO:0005515,protein binding,Function,rho
GO:0005515,protein binding,Function,cpoB
GO:0005515,protein binding,Function,ptsH
GO:0005515,protein binding,Function,pbpC
GO:0005515,protein binding,Function,yqgF
GO:0005515,protein binding,Function,dnaG
GO:0005515,protein binding,Function,rraA
GO:0005515,protein binding,Function,recC
GO:0005515,protein binding,Function,glnL
GO:0005515,protein binding,Function,dhaR
GO:0005515,protein binding,Function,gltX
GO:0005515,protein binding,Function,flxA
GO:0005515,protein binding,Function,fabF
GO:0005515,protein binding,Function,fixX
GO:0005515,protein binding,Function,dpiA
GO:0005515,protein binding,Function,ibpA
GO:0005515,protein binding,Function,cca
GO:0005515,protein binding,Function,tnaA
GO:0005515,protein binding,Function,kdgR
GO:0005515,protein binding,Function,mog
GO:0005515,protein binding,Function,parE
GO:0005515,protein binding,Function,hybG
GO:0005515,protein binding,Function,nagK
GO:0005515,protein binding,Function,csdA
GO:0005515,protein binding,Function,aceF
GO:0005515,protein binding,Function,yheS
GO:0005515,protein binding,Function,yjeF
GO:0005515,protein binding,Function,dmlA
GO:0005515,protein binding,Function,ibaG
GO:0005515,protein binding,Function,malY
GO:0005515,protein binding,Function,mukE
GO:0005515,protein binding,Function,viaA
GO:0005515,protein binding,Function,rpsE
GO:0005515,protein binding,Function,kdpD
GO:0005515,protein binding,Function,rsmI
GO:0005515,protein binding,Function,infA
GO:0005515,protein binding,Function,cysA
GO:0005515,protein binding,Function,narG
GO:0005515,protein binding,Function,rplW
GO:0005515,protein binding,Function,envC
GO:0005515,protein binding,Function,arnA
GO:0005515,protein binding,Function,hpf
GO:0005515,protein binding,Function,rplB
